Number|Gender|GivenName|Surname|StreetAddress|City|State|ZipCode|CountryFull|TelephoneNumber|Birthday|NationalID|Occupation|CCType
25|male|Vitor|Cunha|Rua Helvino de Morais 739|São Paulo|SP|08070-350|Brazil|(11) 6197-3829|12/9/1976|785.645.977-80|Loan clerk|Visa
26|male|Erick|Almeida|Rua Paulo Lazzuri 596|São Bernardo do Campo|SP|09854-200|Brazil|(11) 6937-4332|12/28/1986|181.533.890-33|Network and computer systems administrator|Visa
27|male|Eduardo|Alves|Rua Doutor Clóvis Corrêa da Costa 1000|Cuiabá|MT|78045-020|Brazil|(65) 5653-6032|9/22/1944|564.228.353-70|Rental manager|Visa
28|male|Vitor|Lima|Rua Quatro 761|Campinas|SP|13056-094|Brazil|(19) 7050-3129|11/16/1941|971.089.054-93|Diesel engine specialist|MasterCard
29|female|Anna|Oliveira|Rua Dona Helena 1327|Coronel Fabriciano|MG|35170-164|Brazil|(31) 2406-4144|8/31/1946|211.473.905-84|Paraprofessional|Visa
30|male|Vitór|Costa|Rua Córrego Novo 397|São Paulo|SP|03896-020|Brazil|(11) 5503-8435|7/21/1941|482.335.222-01|Bindery worker|MasterCard
31|male|José|Carvalho|Rua Dias da Rocha Filho 996|Curitiba|PR|80040-050|Brazil|(41) 3274-4809|4/20/1948|410.754.738-88|Artist|MasterCard
32|male|Estevan|Almeida|Praça Arthur Simões dos Anjos 243|Campinas|SP|13060-237|Brazil|(19) 5155-6622|2/7/1970|319.947.563-90|Financial investigator|Visa
33|female|Isabela|Azevedo|Rua Moacir Dantas Itapicuru 1625|São Paulo|SP|08042-290|Brazil|(11) 3518-7585|6/4/1955|666.366.207-49|Rail-track laying and maintenance equipment operator|Visa
34|female|Letícia|Cardoso|Rua Rio das Várzeas 1630|Maringá|PR|87043-180|Brazil|(44) 5954-2859|4/11/1975|136.494.171-62|Certified public accountant|MasterCard
35|male|Gabriel|Correia|Rua Benedito Emílio de Oliveira 740|Mauá|SP|09361-410|Brazil|(11) 5624-3109|4/28/1989|498.559.559-43|Hearing therapist|Visa
36|female|Giovanna|Pinto|Rua Márcio Pereira de Carvalho 677|Cruzeiro|SP|12710-400|Brazil|(12) 8561-2899|1/23/1934|222.422.286-68|Loan interviewer|MasterCard
37|female|Yasmin|Sousa|Rua Café Ouro Verde 1744|Londrina|PR|86081-210|Brazil|(43) 9211-4430|12/9/1986|785.804.076-64|Court and municipal and and license clerk|MasterCard
38|male|André|Ferreira|Rua José Soares Filho 1147|Juazeiro do Norte|CE|63050-150|Brazil|(88) 5076-5886|7/7/1989|947.380.440-79|Umpire|MasterCard
39|female|Ágatha|Sousa|Quadra SHIN QL 03 Conjunto 07 561|Lago Norte|DF|71505-275|Brazil|(61) 2100-5906|2/9/1994|826.656.174-55|Lathe and turning machine tool tender|Visa
40|female|Amanda|Pinto|Rua Gastão Cruls 1540|Belo Horizonte|MG|31840-470|Brazil|(31) 3845-3018|10/1/1964|892.381.148-38|Terrazzo worker|Visa
41|male|Joao|Lima|Servidão Bom Vizinho 406|Volta Redonda|RJ|27214-710|Brazil|(24) 3439-4478|5/4/1944|417.967.388-67|Rodbuster|Visa
42|male|Gabriel|Ribeiro|Rua Treze de Maio 477|João Pessoa|PB|58013-070|Brazil|(83) 7979-7185|10/14/1933|175.035.183-83|Social work policy maker|MasterCard
43|female|Julieta|Melo|Passagem Elvira 1121|Belém|PA|66610-600|Brazil|(91) 2456-3786|6/7/1945|257.697.984-08|Mixing and blending machine operator|MasterCard
44|male|Rodrigo|Correia|Travessa João Amorim 1408|João Pessoa|PB|58020-005|Brazil|(83) 8232-3867|8/28/1957|344.548.275-67|Sports book writer|Visa
45|male|Gustavo|Barros|Travessa Acupiúba 966|São Paulo|SP|04849-012|Brazil|(11) 6636-2169|8/2/1950|716.572.218-14|Marine biologist|Visa
46|male|Cauã|Cavalcanti|Rua Yukio Andaku 926|Tupã|SP|17603-770|Brazil|(14) 4310-5757|9/18/1985|334.696.662-37|Railroad switch operator|Visa
47|female|Luana|Melo|Rua das Flores 1464|Pindamonhangaba|SP|12440-450|Brazil|(12) 6164-7276|10/12/1970|680.639.460-49|Forensic technician|Visa
48|male|José|Azevedo|Quadra CLN 207 619|Brasília|DF|70852-500|Brazil|(61) 2908-9979|12/6/1986|313.210.738-79|Passenger service agent|Visa
49|male|Murilo|Silva|Rua João Bezerra de Menezes 896|Recife|PE|52121-330|Brazil|(81) 9333-6730|2/26/1941|953.467.323-49|Lobby attendant|MasterCard
50|female|Ana|Sousa|Rua Marmota 970|Foz do Iguaçu|PR|85861-090|Brazil|(45) 5130-6989|1/23/1994|989.448.624-00|Forging machine operator|MasterCard
51|female|Rebeca|Ribeiro|Rua 7 24|Gurupi|TO|77423-150|Brazil|(63) 7569-3443|4/25/1938|502.574.752-06|Biological-physical anthropologist|MasterCard
52|female|Giovana|Dias|Rua Porto União 454|Toledo|PR|85906-060|Brazil|(45) 8194-5506|3/4/1957|872.996.735-09|Medical writer|MasterCard
53|female|Leonor|Silva|Rua Paulo Parísio 374|Recife|PE|50781-710|Brazil|(81) 8070-5986|2/4/1975|186.061.752-26|Scaler|Visa
54|female|Isabella|Sousa|Rua José Luís da Silva 1752|Gravatá|PE|55642-135|Brazil|(81) 6853-3619|12/17/1986|308.047.777-48|Title abstractor|Visa
55|male|Luis|Pinto|Rua Nelson Batista 1085|Cataguases|MG|36771-422|Brazil|(32) 9035-2682|7/4/1983|455.610.533-10|Keypunch operator|Visa
56|male|Gabriel|Ribeiro|Rua Cambará 1590|Japeri|RJ|26470-260|Brazil|(21) 7708-5752|4/2/1967|275.913.013-49|Promotions manager|MasterCard
57|male|Mateus|Dias|Estrada Velha da Pavuna 217|Rio de Janeiro|RJ|20765-170|Brazil|(21) 5497-3109|10/27/1957|303.110.467-62|Carpet and floor and and tile finisher|Visa
58|male|Gabriel|Barros|Rua Danton Jobin 929|Avaré|SP|18704-220|Brazil|(14) 7081-6519|8/11/1956|135.031.162-65|Closing agent|MasterCard
59|female|Yasmin|Fernandes|Estrada Vinte e Dois de Outubro 708|Niterói|RJ|24322-460|Brazil|(21) 4467-4846|5/18/1975|437.443.519-04|Public relations coordinator|MasterCard
60|male|Luiz|Souza|Praça Princesa Izabel 1098|Tupã|SP|17606-033|Brazil|(14) 8475-4464|1/15/1967|875.894.874-06|Executive recruiter|Visa
61|male|Antônio|Castro|Rua São Judas Tadeu 439|Belo Horizonte|MG|31530-460|Brazil|(31) 4690-4807|11/15/1975|664.375.918-89|Painter|Visa
62|female|Letícia|Cavalcanti|Rua Faria de Lemos 711|Guarulhos|SP|07094-200|Brazil|(11) 5716-2233|11/30/1985|207.094.946-02|Log sorter|Visa
63|female|Marisa|Barros|Rua Ipiru 948|Rio de Janeiro|RJ|21931-095|Brazil|(21) 4081-4406|8/5/1929|817.915.660-57|Extruding and drawing machine setters|MasterCard
64|female|Carolina|Dias|Rua Pedras Grandes 62|São Paulo|SP|08050-320|Brazil|(11) 7170-6704|10/23/1942|625.619.677-51|Chiropractic doctor|MasterCard
65|male|Vitór|Ribeiro|Rua José Thiago 55|Botucatu|SP|18608-130|Brazil|(14) 3423-8816|4/7/1974|770.217.374-24|Scientific photographer|Visa
66|male|Cauã|Pinto|Rua Igarassu 1678|Teresina|PI|64003-370|Brazil|(86) 7027-5191|4/8/1929|759.573.862-86|Career counselor|MasterCard
67|male|Vinicius|Castro|Rua Miracatu 1869|Campinas|SP|13050-473|Brazil|(19) 5469-2670|10/10/1964|738.483.984-00|Administrative services manager|MasterCard
68|female|Camila|Gomes|Avenida Dulce Santos Guimarães 69|Araxá|MG|38183-406|Brazil|(34) 4244-5069|2/13/1941|416.911.540-67|Merchandise distributor|Visa
69|female|Júlia|Santos|Praça Salim Jorge 502|Campinas|SP|13092-159|Brazil|(19) 9404-2412|9/24/1986|130.874.003-43|Stock broker|MasterCard
70|male|Gustavo|Gomes|Rua Contagem 471|Belo Horizonte|MG|31540-650|Brazil|(31) 3462-4266|7/22/1937|239.598.502-39|Keypunch operator|Visa
71|male|Antônio|Barbosa|Travessa Maria Rita 740|São Gonçalo|RJ|24435-710|Brazil|(21) 2711-9716|7/10/1953|941.758.345-08|Paste-up worker|Visa
72|female|Alice|Almeida|Rua Francisco Américo Pacheco 279|Viamão|RS|94435-480|Brazil|(51) 5805-7529|2/5/1962|185.400.845-54|Psychiatric aide|Visa
73|male|Felipe|Dias|Rua Poanópolis 427|Poá|SP|08562-300|Brazil|(11) 2164-7323|7/20/1965|405.208.409-84|Environmental protection officer|MasterCard
74|female|Marina|Pereira|Rua Pastor José Pinheiro de Lacerda 182|Curitiba|PR|81710-520|Brazil|(41) 5727-3230|3/26/1990|640.640.498-02|Author|Visa
75|female|Leonor|Sousa|Rua ST 320 1506|São Paulo|SP|08473-560|Brazil|(11) 5511-2380|5/18/1962|585.884.637-84|Professional scout|Visa
76|female|Thaís|Ferreira|Rua Major Evangelista de Almeida 1099|Santos|SP|11045-110|Brazil|(11) 5173-4477|10/14/1953|594.899.941-62|Sculptor|Visa
77|female|Amanda|Souza|Travessa da Saudade 943|Cabo de Santo Agostinho|PE|54525-081|Brazil|(81) 4257-3149|5/16/1940|770.084.311-20|Smoke jumper|MasterCard
78|female|Giovanna|Santos|Servidão Parada 1337|Volta Redonda|RJ|27214-275|Brazil|(24) 9214-9791|1/14/1935|650.457.830-33|Train dispatcher|Visa
79|female|Beatriz|Cavalcanti|1ª Travessa da Aurora 1656|Caruaru|PE|55012-482|Brazil|(81) 7142-6795|4/23/1979|278.881.822-08|Histology technician|MasterCard
80|male|Kauan|Silva|Rua Quarenta e Dois 1454|Rondonópolis|MT|78715-606|Brazil|(66) 2290-8510|3/18/1970|831.861.251-54|Coil finisher|Visa
81|female|Letícia|Azevedo|Rua Luiz Maranhão 902|Recife|PE|50800-130|Brazil|(81) 4733-8542|6/1/1991|588.429.267-87|Inside wire installer|MasterCard
82|female|Aline|Martins|Rua Jandaira 1418|Campo Grande|MS|79034-037|Brazil|(67) 7418-3098|4/4/1941|623.501.584-46|Research chef|MasterCard
83|male|Diego|Pereira|Rua Vilmar Neves 421|Blumenau|SC|89023-550|Brazil|(47) 7551-2691|5/4/1980|248.867.740-08|Public health social worker|Visa
84|female|Marisa|Alves|Rua Manoel José da Fonseca 1960|Sorocaba|SP|18035-070|Brazil|(15) 5072-6514|12/24/1991|353.311.142-37|Jeweler|Visa
85|male|Daniel|Gomes|Rua Nelson Pinheiro 311|Manaus|AM|69087-302|Brazil|(92) 4984-3786|8/24/1962|482.005.806-10|Chief technology officer|MasterCard
86|male|Vinícius|Fernandes|Rua Santa Matilde 1159|Bauru|SP|17032-170|Brazil|(14) 2425-6061|12/16/1947|674.990.606-08|Employment clerk|MasterCard
87|male|Breno|Cavalcanti|Rua Delfin Moreira 1845|Piracicaba|SP|13408-217|Brazil|(19) 8088-7436|8/20/1930|329.575.318-01|Heating and air-conditioning and and refrigeration engineer|MasterCard
88|female|Letícia|Azevedo|Avenida Taubaté 1467|Barueri|SP|06458-210|Brazil|(11) 3153-7497|12/19/1980|436.584.377-07|Security guard|MasterCard
89|male|Eduardo|Barros|Rua Citrina 1475|Belo Horizonte|MG|30530-530|Brazil|(31) 3675-3169|9/18/1949|965.916.615-06|Emergency management specialist|Visa
90|female|Ágatha|Oliveira|Rua B 563|Manaus|AM|69093-282|Brazil|(92) 3675-8744|5/31/1935|761.798.423-53|Plant custodian|Visa
91|female|Julieta|Ferreira|Rua Luiz Consoline 805|Itatiba|SP|13255-764|Brazil|(11) 9958-2723|12/22/1946|331.532.520-09|Histology technician|Visa
92|female|Yasmin|Araujo|Rua Fragatas 1318|Recife|PE|51150-610|Brazil|(81) 5083-3328|8/18/1932|485.873.906-60|Health physicist|MasterCard
93|female|Lavinia|Oliveira|Rua 1011 Unidade 101 1255|Goiânia|GO|74893-630|Brazil|(62) 5794-3277|7/30/1934|353.280.489-11|Operating engineer|MasterCard
94|female|Lara|Cavalcanti|Rua José Xavier de Araújo 1631|São Paulo|SP|05365-150|Brazil|(11) 4188-7880|1/14/1974|132.164.727-10|Event planner|MasterCard
95|male|Miguel|Santos|Rua Nenem de Morais 246|São Paulo|SP|04170-090|Brazil|(11) 7809-7228|8/13/1953|320.382.662-39|Log grader|Visa
96|male|Tomás|Castro|Rua Rodrigues Alvarenga 1443|São Paulo|SP|02471-160|Brazil|(11) 3093-8117|5/18/1931|945.530.306-08|Dinkey operator|MasterCard
97|female|Thaís|Correia|Travessa Jesuíno Alves Correia 1207|Campina Grande|PB|58106-161|Brazil|(83) 3411-6792|1/17/1994|286.805.217-79|Personal attendant|MasterCard
98|male|Ryan|Cunha|Rua da Emancipação 449|Itapecerica da Serra|SP|06850-388|Brazil|(11) 3187-6563|5/6/1942|436.455.505-34|Facilitator|Visa
99|male|Luís|Correia|Rua Leonardo da Vinci 787|Goiânia|GO|74325-020|Brazil|(62) 7380-5545|11/5/1962|706.808.212-28|Mineralogist|Visa
100|male|Vinícius|Souza|Rua Epitácio Pessoa 648|São Luís|MA|65035-160|Brazil|(98) 5685-5118|8/16/1987|705.044.699-83|Personnel recruiter|MasterCard
101|female|Gabriela|Souza|Rua José Napoleão 946|Volta Redonda|RJ|27220-200|Brazil|(24) 6232-6630|9/21/1959|900.846.783-64|Tumbling barrel painter|Visa
102|female|Vitoria|Lima|Rua Pinheiros 1518|Serra|ES|29176-620|Brazil|(27) 3382-6401|9/15/1993|339.593.504-30|Multiple machine tool setter|Visa
103|male|Luis|Gomes|Rua Elisa Stein da Silva 1133|Jaraguá do Sul|SC|89253-412|Brazil|(47) 2635-3232|7/20/1928|946.791.767-09|Engineer|Visa
104|female|Rafaela|Gomes|Quadra Quadra 2 Conjunto C-06 1697|Sobradinho|DF|73015-306|Brazil|(61) 5817-5665|9/28/1977|355.420.700-43|Occupational therapist|Visa
105|male|Marcos|Cunha|Rua Mariluz 1342|Itaquaquecetuba|SP|08590-360|Brazil|(11) 6374-2082|8/9/1981|394.148.115-08|Radiologist|MasterCard
106|male|Bruno|Martins|Estrada do Pêssego 1545|São Paulo|SP|08260-001|Brazil|(11) 3172-6051|8/14/1987|716.423.076-53|Commissioner|MasterCard
107|female|Emily|Fernandes|Rua Santo André 196|Umuarama|PR|87507-230|Brazil|(44) 9476-3906|6/17/1954|723.851.352-80|Auto damage appraiser|Visa
108|female|Anna|Almeida|Praça São Geraldo 343|Goiânia|GO|74715-460|Brazil|(62) 3609-6020|4/3/1957|874.478.995-50|Control and valve installer|Visa
109|female|Mariana|Cunha|Rua do Realengo 1384|Campinas|SP|13104-158|Brazil|(19) 5989-5005|9/26/1950|786.890.810-62|Aircraft pilot|MasterCard
110|male|Vinícius|Cardoso|Rua Chile 509|Caraguatatuba|SP|11677-530|Brazil|(12) 2790-3030|3/20/1970|608.207.418-17|PBX repairer|Visa
111|male|André|Barbosa|Avenida Portugal 942|Paragominas|PA|68626-080|Brazil|(91) 5020-6421|10/3/1969|588.261.123-71|Job development specialist|Visa
112|female|Carla|Dias|Rua Mário Soares Pereira 893|Rio de Janeiro|RJ|22640-220|Brazil|(21) 4553-7665|6/27/1942|548.520.821-54|Sales worker supervisor|Visa
113|male|Kauê|Pinto|Rua Batalha 1767|Taboão da Serra|SP|06786-290|Brazil|(11) 9780-7314|6/27/1952|388.275.406-01|Clinical laboratory technologist|MasterCard
114|female|Lara|Cunha|Rua Sargento José Marcolino Brasileiro 831|Juazeiro do Norte|CE|63040-170|Brazil|(88) 8570-2497|6/25/1984|412.208.889-58|Advertising sales agent|MasterCard
115|male|Martim|Ferreira|Caminho 94-Setor C 1377|Salvador|BA|41343-145|Brazil|(71) 8478-4216|9/5/1961|122.942.251-04|Blockmason|Visa
116|female|Sophia|Santos|Rua Ayres Quaresma 675|João Monlevade|MG|35930-016|Brazil|(31) 7953-8837|12/1/1976|717.313.636-99|Payroll technician|MasterCard
117|female|Carolina|Pinto|Praça Fernando Gomes Nogueira Filho 716|Taubaté|SP|12031-390|Brazil|(12) 7981-3597|1/22/1964|508.377.561-11|Lathe and turning machine tool setter|MasterCard
118|male|Felipe|Santos|Rua Natalício Euzébio 353|Londrina|PR|86080-350|Brazil|(43) 9504-4422|5/17/1941|766.158.338-08|Soldering worker|MasterCard
119|male|Luiz|Oliveira|Rua José de Cristo Moreira 1956|São Paulo|SP|05688-090|Brazil|(11) 7251-5073|9/26/1971|184.332.427-09|Payroll bookkeeper|MasterCard
120|male|Diogo|Silva|Rua Francisco Sampaio 1505|Jaú|SP|17205-050|Brazil|(17) 8897-6611|10/13/1955|101.756.334-95|General internist|Visa
121|male|Bruno|Rocha|Rua Indiana 1314|Natal|RN|59114-750|Brazil|(84) 6636-6361|10/19/1977|637.175.497-15|Telecommunications line installer|MasterCard
122|male|Estevan|Cunha|Rua Coronel Jorge Teixeira 511|Manaus|AM|69038-004|Brazil|(92) 9422-9866|5/9/1935|330.195.710-22|Travel adviser|MasterCard
123|male|Tiago|Martins|Rua Bejamim 356|Ananindeua|PA|67013-206|Brazil|(91) 9516-9431|10/7/1977|833.667.957-00|Medical illustrator|MasterCard
124|male|Estevan|Lima|Rua Cannes 1710|Jacareí|SP|12320-160|Brazil|(12) 8734-4090|9/16/1942|904.773.386-07|Computer control operator|Visa
125|female|Carla|Dias|Rua 245 1717|Goiânia|GO|74603-220|Brazil|(62) 3325-5024|1/4/1986|406.641.646-25|Industrial photographer|Visa
126|male|Vitór|Almeida|Rua Almirante Tamandaré 1521|São Lourenço da Mata|PE|54735-420|Brazil|(81) 6898-5507|6/15/1947|881.788.176-75|Electronic typesetting machine operator|MasterCard
127|female|Emilly|Castro|2ª Travessa da Alegria 1165|Caruaru|PE|55020-042|Brazil|(81) 2963-3761|1/15/1935|589.767.152-41|Auto damage appraiser|Visa
128|female|Lavinia|Ribeiro|Rua Zelfira Bianchi 546|São José dos Campos|SP|12248-150|Brazil|(12) 3465-3582|10/2/1976|584.200.995-11|Fitness director|Visa
129|male|Lucas|Rodrigues|Servidão Fortunato Baiteli 1288|Petrópolis|RJ|25716-104|Brazil|(24) 4694-7643|8/7/1957|212.013.866-40|Conference planner|Visa
130|female|Julia|Alves|Rua Augusto Conte 1045|Porto Alegre|RS|91910-370|Brazil|(51) 5278-3524|11/22/1950|209.119.575-88|Loan processing clerk|Visa
131|male|Breno|Cunha|Rua Ribeirão Azul 224|Natal|RN|59136-300|Brazil|(84) 3238-8029|4/11/1975|370.005.431-91|Slaughterer|MasterCard
132|male|Júlio|Rodrigues|Rua Mato Grosso 867|Assis|SP|19813-325|Brazil|(18) 8228-4021|4/16/1966|407.090.750-57|Admissions officer|MasterCard
133|male|Bruno|Ferreira|Rua Martinho Ferreira do Amaral 1298|Divinópolis|MG|35500-134|Brazil|(37) 8322-9929|10/26/1989|349.098.505-20|Pile driver operator|MasterCard
134|female|Rebeca|Martins|Rua Tupy 371|Caxias do Sul|RS|95034-520|Brazil|(54) 6711-7208|11/24/1941|871.656.228-37|Painting and coating worker|MasterCard
135|male|Lucas|Silva|Travessa Alexandria 456|Camaragibe|PE|54771-646|Brazil|(81) 7119-6392|4/29/1940|203.780.153-03|Transportation inspector|Visa
136|male|Diogo|Gomes|Rua Santa Maria do Salto 184|Belo Horizonte|MG|30440-470|Brazil|(31) 2877-5406|2/8/1932|109.487.388-80|Terrazzo worker|MasterCard
137|female|Leila|Lima|Rua Maria Antônia Silva 1578|Curitiba|PR|82130-270|Brazil|(41) 7700-9692|1/24/1958|998.364.116-07|Risk manager|Visa
138|male|Paulo|Cunha|Rua Euclides Zamboni 657|Itatiba|SP|13254-650|Brazil|(11) 5671-4495|7/16/1969|475.276.112-27|Construction cost estimator|Visa
139|female|Giovanna|Correia|Avenida Poeta Renato Caldas 1538|Natal|RN|59139-450|Brazil|(84) 5843-5940|9/21/1986|767.229.440-77|Oral and maxillofacial surgeon|Visa
140|female|Camila|Rodrigues|Rua Sebastião do Vale 1255|Redenção|PA|68550-045|Brazil|(94) 9429-5661|12/13/1979|118.380.960-35|Benefits manager|Visa
141|female|Mariana|Melo|Rua Doutor Bozano 568|Caxias do Sul|RS|95020-030|Brazil|(54) 5211-3125|2/28/1994|188.017.085-05|Video editor|MasterCard
142|male|Leonardo|Ferreira|Rua Onofre Camilo de Campos 174|Belo Horizonte|MG|31545-040|Brazil|(31) 2041-5155|11/29/1936|350.356.539-60|Checker|Visa
143|female|Julia|Sousa|Rua de Centauro 1846|Betim|MG|32550-410|Brazil|(31) 8626-4097|8/3/1935|512.984.953-18|Beautician|Visa
144|male|Erick|Goncalves|Rua Cento e Trinta e Nove 1538|Alvorada|RS|94859-400|Brazil|(51) 2631-7453|5/11/1964|160.205.859-80|News analyst|MasterCard
145|male|Igor|Santos|Rua Mírian R. Silveira 1255|Ribeirão das Neves|MG|33861-345|Brazil|(31) 5586-3337|5/10/1941|653.551.508-70|Electronics technician|MasterCard
146|female|Emily|Cardoso|Rua K 1171|Várzea Grande|MT|78120-095|Brazil|(65) 7074-9861|5/12/1945|826.375.842-46|Image consultant|Visa
147|female|Amanda|Correia|Rua Doutor Goulart Monteiro 582|Nova Friburgo|RJ|28616-120|Brazil|(22) 7350-4947|2/15/1989|568.574.934-13|Bill and account collector|Visa
148|male|Bruno|Santos|Rua Ernani P. Lopes 1861|Várzea Grande|MT|78150-028|Brazil|(65) 8531-2191|1/30/1982|324.576.327-14|Commodities trader|MasterCard
149|male|Martim|Castro|Rua Guaraciaba 1243|Araçatuba|SP|16025-340|Brazil|(18) 8590-4686|2/10/1974|956.330.021-13|Instructional assistant|Visa
150|female|Leonor|Barros|Rua Dez 433|Piracicaba|SP|13408-115|Brazil|(19) 9305-2474|1/19/1954|351.859.480-00|Telephone service representative|MasterCard
151|male|Leonardo|Cardoso|Avenida Aldemir Fernandes 1753|Mossoró|RN|59607-150|Brazil|(84) 2725-7132|5/4/1953|863.635.635-00|Armored car guard|Visa
152|female|Ana|Alves|Rua G 250|Niterói|RJ|24120-037|Brazil|(21) 5062-9070|8/5/1976|647.268.685-86|Support specialist|Visa
153|female|Leonor|Melo|Avenida Guaporé 297|Porto Velho|RO|78909-661|Brazil|(69) 4274-2600|10/9/1971|375.070.013-34|Training consultant|Visa
154|female|Evelyn|Barros|Rua Diógenes Campos 1004|São Gonçalo|RJ|24455-360|Brazil|(21) 2318-4216|8/21/1954|601.744.158-26|Electrician|Visa
155|male|Vinicius|Azevedo|Rua 125 1863|Maracanaú|CE|61936-280|Brazil|(85) 5862-9313|2/10/1983|693.516.781-72|Claims examiner|MasterCard
156|female|Giovana|Cavalcanti|Rua Valério Simões Rocha Villaca 1211|Queimados|RJ|26323-280|Brazil|(21) 2794-9107|3/18/1944|718.239.053-15|International human resources manager|MasterCard
157|male|Joao|Rocha|Rua DETRAN 1978|Ananindeua|PA|67033-600|Brazil|(91) 7478-4569|12/2/1985|428.261.817-50|Textile winding and twisting and and drawing out machine operator|MasterCard
158|female|Rebeca|Costa|Rua Aruti 63|Rio de Janeiro|RJ|21321-030|Brazil|(21) 5530-8484|11/4/1965|164.898.921-70|Laboratory animal technologist|MasterCard
159|male|Diogo|Melo|Rua Delta 1669|Belém|PA|66833-260|Brazil|(91) 9154-6696|7/28/1959|748.310.585-21|Die maker|MasterCard
160|female|Júlia|Lima|Rua Cinco 946|Suzano|SP|08633-800|Brazil|(11) 6415-9766|4/27/1974|789.422.822-29|Poultry farmer|MasterCard
161|male|Júlio|Souza|Rua D-2 587|Olinda|PE|53330-260|Brazil|(81) 7324-3773|6/27/1988|127.990.573-57|Bank teller|Visa
